Title,Probable contaminant in blood specimen
Acinetobacter baumannii (meropenem-resistant),
Acinetobacter baumannii calcoaceticus complex,
Acinetobacter haemolyticus,
Acinetobacter Iwoffi,
Acinetobacter spp,
Acinetobacter spp (meropenem-resistant),
Aeromonas spp,
Alcaligenes faecalis,
Amoeba,
Ascaris lumbricoides,
Bacillus spp,Yes
Burkholderia cepacia complex (presumptive),
Burkholderia cepacia complex,
Campylobacter spp,
Candida albicans,
Candida spp,
Citrobacter freundii,
Citrobacter koseri (diversus),
Citrobacter spp,
Clostridium perfringens,
Clostridium septicum,
Corynebacterium species,Yes
Cryptococcus gattii,
Cryptococcus neoformans,
Cryptococcus spp,
Cutibacterium spp,Yes
Elizabethkingia meningoseptica,
Enterobacter aerogenes,
Enterobacter cloacae,
Enterobacter cloacae complex,
Enterobacter spp,
Enterobius vermicularis,
Enterococcus casseliflavus/gallinarum,
Enterococcus faecalis,
Enterococcus faecalis (Vancomycin-resistant - VRE),
Enterococcus faecium,
Enterococcus faecium (Vancomycin-resistant - VRE),
Enterococcus spp,
Escherichia coli,
Escherichia coli (ceftriaxone-resistant - ESBL),
Escherichia coli (meropenem-resistant - CRE),
Fusobacterium spp,
Giardia duodenalis,
Giardia lamblia,
Gram negative organism (other),
Haemophilus influenzae,
Haemophilus influenzae,
Haemophilus parainfluenzae,
Haemophilus parainfluenzae,
Helicobacter pylori,
Hookworm,
Klebsiella aerogenes,
Klebsiella oxytoca,
Klebsiella ozaenae,
Klebsiella pneumoniae,
Klebsiella pneumoniae (ceftriaxone-resistant - ESBL),
Klebsiella pneumoniae (meropenem-resistant - CRE),
Klebsiella spp,
Listeria monocytogenes,
Micrococcus species,Yes
Moraxella spp,
Morganella morganii,
Neisseria gonorrhoeae,
Neisseria meningitidis,
Pantoea agglomerans,
Pantoea spp,
Pasteurella multocida,
Proteus mirabilis,
Proteus penneri,
Proteus vulgaris,
Providencia rettgeri,
Providencia spp,
Providencia stuartii,
Pseudomonas aeruginosa,
Pseudomonas putida,
Pseudomonas spp,
Raoultella spp,
Salmonella paratyphi A,
Salmonella spp,
Salmonella typhi,
Serratia marcescens,
Serratia species,
Shewanella putrefaciens,
Shigella flexneri,
Shigella sonnei,
Shigella spp,
Staphylococcus (coagulase-negative),Yes
Staphylococcus aureus,
Staphylococcus aureus (methicillin-susceptible - MSSA),
Staphylococcus aureus (Methicillin-resistant - MRSA),
Staphylococcus lugdunensis,
Staphylococcus saprophyticus,Yes
Stenotrophomonas maltophilia,
Streptococcus agalactiae (beta-haemolytic Group B),
Streptococcus anginosus group (Milleri),
Streptococcus dysgalactiae (beta-haemolytic Group C/G),
Streptococcus pneumoniae,
Streptococcus pyogenes (beta-haemolytic Group A),
Streptococcus species,Yes
Streptococcus spp (Viridans group),Yes
Streptococcus suis,
Strongyloides stercoralis,
Tirchuris trichiura,
Trichomonas vaginalis,
Vibrio cholerae,
Vibrio spp,
Yeast,
